Date,Ride,Average Wait Time (mins),Max Wait Time (mins)
2015-01-01,Radiator Springs Racers,82.0,166.0
2015-01-01,Toy Story Midway Mania!,52.0,75.0
2015-01-01,Pixar Pal-A-Round - Swinging,38.0,80.0
2015-01-01,"Monsters, Inc. Mike & Sulley to the Rescue!",28.0,60.0
2015-01-01,For the First Time in Forever: A Frozen Sing-Along Celebration,26.0,27.0
2015-01-01,Soarin' Around the World,26.0,53.0
2015-01-01,Guardians of the Galaxy - Mission: BREAKOUT!,26.0,66.0
2015-01-01,Incredicoaster,24.0,38.0
2015-01-01,Mater's Jingle Jamboree,22.0,41.0
2015-01-01,Goofy's Sky School,21.0,41.0
2015-01-01,Disney's Aladdin - A Musical Spectacular,21.0,34.0
2015-01-01,"Luigi's Flying Tires, presented by Alamo",13.0,30.0
2015-01-01,Heimlich's Chew Chew Train,12.0,20.0
2015-01-01,Flik's Flyers,12.0,30.0
2015-01-01,Disney Junior - Live on Stage!,11.0,15.0
2015-01-01,Silly Symphony Swings,11.0,15.0
2015-01-01,Tuck and Roll's Drive 'Em Buggies,10.0,15.0
2015-01-01,Francis' Ladybug Boogie,8.0,10.0
2015-01-01,The Little Mermaid - Ariel's Undersea Adventure,7.0,21.0
2015-01-01,Golden Zephyr,6.0,10.0
2015-01-01,Grizzly River Run,5.0,22.0
2015-01-01,It's Tough to be a Bug!,5.0,5.0
2015-01-01,Jessie's Critter Carousel,5.0,5.0
2015-01-01,Jumpin' Jellyfish,5.0,5.0
2015-01-01,Turtle Talk with Crush,5.0,5.0
2015-01-01,Redwood Creek Challenge Trail,,
2015-01-01,Animation Academy,,
2015-01-02,Radiator Springs Racers,107.0,162.0
2015-01-02,Toy Story Midway Mania!,56.0,80.0
2015-01-02,Pixar Pal-A-Round - Swinging,41.0,60.0
2015-01-02,Soarin' Around the World,39.0,65.0
2015-01-02,Guardians of the Galaxy - Mission: BREAKOUT!,38.0,88.0
2015-01-02,"Monsters, Inc. Mike & Sulley to the Rescue!",31.0,45.0
2015-01-02,Goofy's Sky School,25.0,54.0
2015-01-02,Incredicoaster,22.0,44.0
2015-01-02,Disney's Aladdin - A Musical Spectacular,21.0,31.0
2015-01-02,Silly Symphony Swings,20.0,30.0
2015-01-02,Mater's Jingle Jamboree,17.0,34.0
2015-01-02,"Luigi's Flying Tires, presented by Alamo",16.0,32.0
2015-01-02,Flik's Flyers,12.0,15.0
2015-01-02,Disney Junior - Live on Stage!,11.0,16.0
2015-01-02,Tuck and Roll's Drive 'Em Buggies,10.0,20.0
2015-01-02,The Little Mermaid - Ariel's Undersea Adventure,9.0,23.0
2015-01-02,Heimlich's Chew Chew Train,8.0,15.0
2015-01-02,Jumpin' Jellyfish,8.0,20.0
2015-01-02,Francis' Ladybug Boogie,7.0,15.0
2015-01-02,Animation Academy,5.0,5.0
2015-01-02,For the First Time in Forever: A Frozen Sing-Along Celebration,5.0,5.0
2015-01-02,Golden Zephyr,5.0,5.0
2015-01-02,It's Tough to be a Bug!,5.0,5.0
2015-01-02,Jessie's Critter Carousel,5.0,5.0
2015-01-02,Turtle Talk with Crush,5.0,5.0
2015-01-02,Grizzly River Run,3.0,14.0
2015-01-02,Redwood Creek Challenge Trail,,
2015-01-03,Radiator Springs Racers,65.0,131.0
2015-01-03,For the First Time in Forever: A Frozen Sing-Along Celebration,45.0,45.0
2015-01-03,Toy Story Midway Mania!,42.0,60.0
2015-01-03,Soarin' Around the World,26.0,43.0
2015-01-03,Pixar Pal-A-Round - Swinging,26.0,45.0
2015-01-03,Guardians of the Galaxy - Mission: BREAKOUT!,24.0,73.0
2015-01-03,"Monsters, Inc. Mike & Sulley to the Rescue!",19.0,40.0
2015-01-03,Disney's Aladdin - A Musical Spectacular,17.0,23.0
2015-01-03,Goofy's Sky School,17.0,35.0
2015-01-03,Incredicoaster,16.0,29.0
2015-01-03,Mater's Jingle Jamboree,13.0,26.0
2015-01-03,"Luigi's Flying Tires, presented by Alamo",10.0,26.0
2015-01-03,Jumpin' Jellyfish,10.0,15.0
2015-01-03,Disney Junior - Live on Stage!,9.0,13.0
2015-01-03,Tuck and Roll's Drive 'Em Buggies,6.0,10.0
2015-01-03,Animation Academy,5.0,5.0
2015-01-03,Flik's Flyers,5.0,5.0
2015-01-03,Francis' Ladybug Boogie,5.0,5.0
2015-01-03,Golden Zephyr,5.0,5.0
2015-01-03,Heimlich's Chew Chew Train,5.0,5.0
2015-01-03,It's Tough to be a Bug!,5.0,5.0
2015-01-03,Jessie's Critter Carousel,5.0,5.0
2015-01-03,Silly Symphony Swings,5.0,5.0
2015-01-03,Turtle Talk with Crush,5.0,5.0
2015-01-03,The Little Mermaid - Ariel's Undersea Adventure,4.0,11.0
2015-01-03,Grizzly River Run,3.0,14.0
2015-01-03,Redwood Creek Challenge Trail,,
2015-01-04,Radiator Springs Racers,63.0,127.0
2015-01-04,Toy Story Midway Mania!,41.0,60.0
2015-01-04,Soarin' Around the World,27.0,83.0
2015-01-04,Guardians of the Galaxy - Mission: BREAKOUT!,23.0,50.0
2015-01-04,Pixar Pal-A-Round - Swinging,19.0,45.0
2015-01-04,"Monsters, Inc. Mike & Sulley to the Rescue!",18.0,35.0
2015-01-04,Disney's Aladdin - A Musical Spectacular,15.0,19.0
2015-01-04,Incredicoaster,15.0,24.0
2015-01-04,Goofy's Sky School,15.0,41.0
