Date,Ride,Average Wait Time (mins),Max Wait Time (mins)
2015-01-01,Space Mountain,50.0,96.0
2015-01-01,Indiana Jones™ Adventure,48.0,91.0
2015-01-01,Peter Pan's Flight,42.0,50.0
2015-01-01,Alice in Wonderland,37.0,50.0
2015-01-01,Roger Rabbit's Car Toon Spin,34.0,61.0
2015-01-01,Pirates of the Caribbean,28.0,60.0
2015-01-01,Finding Nemo Submarine Voyage,27.0,45.0
2015-01-01,Matterhorn Bobsleds,27.0,45.0
2015-01-01,"""it's a small world"" Holiday",27.0,45.0
2015-01-01,Astro Orbitor,26.0,45.0
2015-01-01,Dumbo the Flying Elephant,26.0,40.0
2015-01-01,Star Tours - The Adventures Continue,26.0,68.0
2015-01-01,Chip 'n' Dale's GADGETcoaster,23.0,30.0
2015-01-01,Haunted Mansion Holiday,23.0,48.0
2015-01-01,Jungle Cruise,21.0,45.0
2015-01-01,Big Thunder Mountain Railroad,20.0,47.0
2015-01-01,Storybook Land Canal Boats,19.0,30.0
2015-01-01,Autopia,18.0,46.0
2015-01-01,Buzz Lightyear Astro Blasters,16.0,32.0
2015-01-01,Mark Twain Riverboat,15.0,15.0
2015-01-01,Disneyland Monorail,10.0,30.0
2015-01-01,Pinocchio's Daring Journey,10.0,15.0
2015-01-01,Davy Crockett's Explorer Canoes,10.0,10.0
2015-01-01,Mr. Toad's Wild Ride,9.0,15.0
2015-01-01,Casey Jr. Circus Train,9.0,10.0
2015-01-01,Fantasy Faire,9.0,15.0
2015-01-01,Snow White's Enchanted Wish,9.0,10.0
2015-01-01,King Arthur Carrousel,8.0,10.0
2015-01-01,Mickey's House and Meet Mickey Mouse,8.0,10.0
2015-01-01,Pirate's Lair on Tom Sawyer Island,7.0,15.0
2015-01-01,The Many Adventures of Winnie the Pooh,7.0,25.0
2015-01-01,Mad Tea Party,5.0,5.0
2015-01-01,Walt Disney's Enchanted Tiki Room,5.0,5.0
2015-01-01,Splash Mountain,4.0,14.0
2015-01-01,Sailing Ship Columbia,,
2015-01-02,Peter Pan's Flight,60.0,70.0
2015-01-02,Indiana Jones™ Adventure,51.0,106.0
2015-01-02,Matterhorn Bobsleds,50.0,90.0
2015-01-02,Space Mountain,46.0,99.0
2015-01-02,Alice in Wonderland,44.0,70.0
2015-01-02,Finding Nemo Submarine Voyage,39.0,65.0
2015-01-02,Haunted Mansion Holiday,39.0,91.0
2015-01-02,Roger Rabbit's Car Toon Spin,38.0,75.0
2015-01-02,"""it's a small world"" Holiday",35.0,50.0
2015-01-02,Astro Orbitor,35.0,60.0
2015-01-02,Dumbo the Flying Elephant,35.0,50.0
2015-01-02,Chip 'n' Dale's GADGETcoaster,33.0,50.0
2015-01-02,Pirates of the Caribbean,33.0,70.0
2015-01-02,Big Thunder Mountain Railroad,32.0,64.0
2015-01-02,Fantasy Faire,31.0,50.0
2015-01-02,Autopia,29.0,63.0
2015-01-02,Jungle Cruise,28.0,45.0
2015-01-02,Star Tours - The Adventures Continue,28.0,72.0
2015-01-02,Mickey's House and Meet Mickey Mouse,27.0,45.0
2015-01-02,Mr. Toad's Wild Ride,26.0,30.0
2015-01-02,Snow White's Enchanted Wish,24.0,30.0
2015-01-02,Storybook Land Canal Boats,24.0,35.0
2015-01-02,Pinocchio's Daring Journey,19.0,25.0
2015-01-02,Casey Jr. Circus Train,18.0,25.0
2015-01-02,Buzz Lightyear Astro Blasters,17.0,38.0
2015-01-02,Mad Tea Party,15.0,25.0
2015-01-02,King Arthur Carrousel,12.0,15.0
2015-01-02,Disneyland Monorail,11.0,20.0
2015-01-02,The Many Adventures of Winnie the Pooh,11.0,30.0
2015-01-02,Splash Mountain,10.0,37.0
2015-01-02,Davy Crockett's Explorer Canoes,10.0,10.0
2015-01-02,Mark Twain Riverboat,10.0,10.0
2015-01-02,Pirate's Lair on Tom Sawyer Island,5.0,5.0
2015-01-02,Walt Disney's Enchanted Tiki Room,5.0,5.0
2015-01-02,Sailing Ship Columbia,,
2015-01-03,Space Mountain,51.0,103.0
2015-01-03,Peter Pan's Flight,48.0,60.0
2015-01-03,Matterhorn Bobsleds,42.0,80.0
2015-01-03,Alice in Wonderland,38.0,55.0
2015-01-03,Roger Rabbit's Car Toon Spin,36.0,61.0
2015-01-03,Star Tours - The Adventures Continue,35.0,76.0
2015-01-03,Indiana Jones™ Adventure,34.0,75.0
2015-01-03,Pirates of the Caribbean,34.0,45.0
2015-01-03,Snow White's Enchanted Wish,31.0,45.0
2015-01-03,Finding Nemo Submarine Voyage,30.0,60.0
2015-01-03,"""it's a small world"" Holiday",30.0,45.0
2015-01-03,Haunted Mansion Holiday,30.0,58.0
2015-01-03,Mickey's House and Meet Mickey Mouse,29.0,60.0
2015-01-03,Dumbo the Flying Elephant,28.0,40.0
2015-01-03,Fantasy Faire,27.0,30.0
2015-01-03,Mr. Toad's Wild Ride,27.0,40.0
2015-01-03,Astro Orbitor,26.0,45.0
2015-01-03,Big Thunder Mountain Railroad,24.0,38.0
2015-01-03,Autopia,23.0,50.0
2015-01-03,Chip 'n' Dale's GADGETcoaster,23.0,25.0
2015-01-03,Jungle Cruise,21.0,30.0
2015-01-03,Storybook Land Canal Boats,21.0,35.0
2015-01-03,Buzz Lightyear Astro Blasters,17.0,33.0
2015-01-03,Casey Jr. Circus Train,16.0,30.0
2015-01-03,Pinocchio's Daring Journey,16.0,25.0
2015-01-03,King Arthur Carrousel,12.0,15.0
2015-01-03,Mad Tea Party,11.0,15.0
2015-01-03,Davy Crockett's Explorer Canoes,10.0,10.0
2015-01-03,Splash Mountain,8.0,29.0
2015-01-03,The Many Adventures of Winnie the Pooh,7.0,20.0
2015-01-03,Disneyland Monorail,5.0,10.0
2015-01-03,Mark Twain Riverboat,5.0,5.0
2015-01-03,Pirate's Lair on Tom Sawyer Island,5.0,5.0
2015-01-03,Sailing Ship Columbia,5.0,5.0
2015-01-03,Walt Disney's Enchanted Tiki Room,5.0,5.0
2015-01-04,Meet Hiro and Baymax in Tomorrowland,108.0,135.0
2015-01-04,Peter Pan's Flight,49.0,55.0
2015-01-04,Alice in Wonderland,32.0,40.0
2015-01-04,Haunted Mansion Holiday,31.0,70.0
2015-01-04,Matterhorn Bobsleds,29.0,50.0
2015-01-04,Space Mountain,28.0,61.0
2015-01-04,Indiana Jones™ Adventure,28.0,58.0
2015-01-04,"""it's a small world"" Holiday",25.0,45.0
2015-01-04,Jungle Cruise,24.0,45.0
2015-01-04,Roger Rabbit's Car Toon Spin,22.0,70.0
2015-01-04,Dumbo the Flying Elephant,20.0,25.0
2015-01-04,Big Thunder Mountain Railroad,20.0,57.0
2015-01-04,Storybook Land Canal Boats,18.0,25.0
2015-01-04,Star Tours - The Adventures Continue,18.0,37.0
2015-01-04,Finding Nemo Submarine Voyage,18.0,30.0
2015-01-04,Pirates of the Caribbean,17.0,35.0
2015-01-04,Casey Jr. Circus Train,17.0,20.0
2015-01-04,Mr. Toad's Wild Ride,16.0,20.0
2015-01-04,Fantasy Faire,16.0,30.0
2015-01-04,Mad Tea Party,15.0,20.0
2015-01-04,Astro Orbitor,14.0,25.0
2015-01-04,Snow White's Enchanted Wish,13.0,20.0
2015-01-04,Pinocchio's Daring Journey,13.0,15.0
2015-01-04,Buzz Lightyear Astro Blasters,13.0,59.0
2015-01-04,Chip 'n' Dale's GADGETcoaster,12.0,30.0
2015-01-04,Mickey's House and Meet Mickey Mouse,12.0,25.0
2015-01-04,Autopia,11.0,24.0
2015-01-04,Davy Crockett's Explorer Canoes,10.0,10.0
2015-01-04,Mark Twain Riverboat,10.0,10.0
2015-01-04,King Arthur Carrousel,8.0,10.0
2015-01-04,Splash Mountain,7.0,59.0
2015-01-04,Disneyland Monorail,6.0,10.0
2015-01-04,The Many Adventures of Winnie the Pooh,6.0,15.0
2015-01-04,Sailing Ship Columbia,6.0,10.0
2015-01-04,Pirate's Lair on Tom Sawyer Island,5.0,5.0
2015-01-04,Walt Disney's Enchanted Tiki Room,5.0,5.0
2015-01-05,Peter Pan's Flight,39.0,45.0
2015-01-05,Alice in Wonderland,38.0,55.0
2015-01-05,Indiana Jones™ Adventure,38.0,141.0
2015-01-05,Roger Rabbit's Car Toon Spin,36.0,62.0
2015-01-05,Space Mountain,36.0,73.0
2015-01-05,Haunted Mansion Holiday,32.0,65.0
2015-01-05,Pirates of the Caribbean,32.0,40.0
2015-01-05,Splash Mountain,31.0,99.0
2015-01-05,"""it's a small world"" Holiday",31.0,45.0
2015-01-05,Star Tours - The Adventures Continue,29.0,54.0
2015-01-05,Jungle Cruise,29.0,45.0
2015-01-05,Astro Orbitor,27.0,50.0
2015-01-05,Matterhorn Bobsleds,25.0,45.0
2015-01-05,Fantasy Faire,24.0,45.0
2015-01-05,Finding Nemo Submarine Voyage,23.0,40.0
2015-01-05,Dumbo the Flying Elephant,22.0,35.0
2015-01-05,Autopia,20.0,47.0
2015-01-05,Big Thunder Mountain Railroad,19.0,40.0
2015-01-05,Storybook Land Canal Boats,18.0,25.0
2015-01-05,Mr. Toad's Wild Ride,16.0,20.0
2015-01-05,Disneyland Monorail,13.0,25.0
2015-01-05,Buzz Lightyear Astro Blasters,13.0,23.0
2015-01-05,Mickey's House and Meet Mickey Mouse,12.0,15.0
2015-01-05,Snow White's Enchanted Wish,12.0,15.0
2015-01-05,Casey Jr. Circus Train,11.0,15.0
2015-01-05,The Many Adventures of Winnie the Pooh,11.0,30.0
2015-01-05,Pinocchio's Daring Journey,10.0,15.0
2015-01-05,Mark Twain Riverboat,10.0,10.0
2015-01-05,Sailing Ship Columbia,10.0,10.0
2015-01-05,Mad Tea Party,9.0,20.0
2015-01-05,King Arthur Carrousel,7.0,10.0
2015-01-05,Chip 'n' Dale's GADGETcoaster,5.0,5.0
2015-01-05,Pirate's Lair on Tom Sawyer Island,5.0,5.0
2015-01-05,Walt Disney's Enchanted Tiki Room,5.0,5.0
2015-01-06,Star Tours - The Adventures Continue,46.0,75.0
2015-01-06,Space Mountain,39.0,79.0
2015-01-06,Alice in Wonderland,37.0,45.0
2015-01-06,Peter Pan's Flight,36.0,40.0
2015-01-06,Indiana Jones™ Adventure,33.0,99.0
2015-01-06,Matterhorn Bobsleds,31.0,45.0
2015-01-06,Pirates of the Caribbean,31.0,45.0
2015-01-06,Jungle Cruise,28.0,45.0
2015-01-06,Roger Rabbit's Car Toon Spin,27.0,51.0
2015-01-06,Haunted Mansion Holiday,26.0,53.0
2015-01-06,Dumbo the Flying Elephant,24.0,30.0
2015-01-06,Big Thunder Mountain Railroad,24.0,36.0
2015-01-06,Storybook Land Canal Boats,24.0,25.0
2015-01-06,Splash Mountain,23.0,67.0
2015-01-06,"""it's a small world"" Holiday",23.0,40.0
2015-01-06,Finding Nemo Submarine Voyage,23.0,30.0
2015-01-06,Chip 'n' Dale's GADGETcoaster,22.0,25.0
2015-01-06,Astro Orbitor,21.0,40.0
2015-01-06,Autopia,20.0,34.0
2015-01-06,Fantasy Faire,20.0,60.0
2015-01-06,Mr. Toad's Wild Ride,18.0,20.0
2015-01-06,Snow White's Enchanted Wish,15.0,20.0
2015-01-06,Casey Jr. Circus Train,14.0,15.0
2015-01-06,Buzz Lightyear Astro Blasters,13.0,25.0
2015-01-06,Pinocchio's Daring Journey,10.0,15.0
2015-01-06,Mark Twain Riverboat,10.0,10.0
2015-01-06,The Many Adventures of Winnie the Pooh,9.0,25.0
2015-01-06,Mad Tea Party,9.0,10.0
2015-01-06,King Arthur Carrousel,8.0,10.0
2015-01-06,Disneyland Monorail,7.0,15.0
2015-01-06,Mickey's House and Meet Mickey Mouse,5.0,5.0
2015-01-06,Pirate's Lair on Tom Sawyer Island,5.0,5.0
2015-01-06,Walt Disney's Enchanted Tiki Room,5.0,5.0
2015-01-07,Space Mountain,44.0,80.0
2015-01-07,Peter Pan's Flight,35.0,45.0
2015-01-07,Star Tours - The Adventures Continue,32.0,56.0
2015-01-07,Alice in Wonderland,30.0,40.0
2015-01-07,Indiana Jones™ Adventure,28.0,62.0
2015-01-07,Roger Rabbit's Car Toon Spin,23.0,42.0
2015-01-07,Pirates of the Caribbean,19.0,30.0
2015-01-07,Autopia,18.0,30.0
2015-01-07,Chip 'n' Dale's GADGETcoaster,17.0,30.0
2015-01-07,Big Thunder Mountain Railroad,16.0,30.0
2015-01-07,Storybook Land Canal Boats,16.0,30.0
2015-01-07,Haunted Mansion Holiday,16.0,40.0
