Date,Ride,Average Wait Time (mins),Max Wait Time (mins)
2018-07-15,GhostRider,73.0,90.0
2018-07-15,HangTime,37.0,55.0
2018-07-15,Timber Mountain Log Ride,31.0,40.0
2018-07-15,Xcelerator The Ride,30.0,40.0
2018-07-15,Calico River Rapids,29.0,35.0
2018-07-15,Coast Rider,28.0,40.0
2018-07-15,Jaguar!,17.0,20.0
2018-07-15,Sierra Sidewinder,17.0,20.0
2018-07-15,Silver Bullet,16.0,30.0
2018-07-15,Montezooma's Revenge,9.0,10.0
2018-07-15,Pony Express,9.0,10.0
2018-07-15,Voyage to the Iron Reef,8.0,10.0
2018-07-15,Calico Mine Ride,8.0,20.0
2018-07-15,Supreme Scream,5.0,5.0
2018-07-15,Bloodline 1842,,
2018-07-15,Dark Ride,,
2018-07-15,Paranormal Inc.,,
2018-07-15,Pumpkin Eater,,
2018-07-15,Special Ops: Infected,,
2018-07-15,The Red Barn,,
2018-07-15,Trick or Treat: Lights Out,,
2018-07-16,GhostRider,70.0,90.0
2018-07-16,Calico River Rapids,48.0,60.0
2018-07-16,Xcelerator The Ride,40.0,60.0
2018-07-16,Sierra Sidewinder,33.0,35.0
2018-07-16,Pony Express,29.0,30.0
2018-07-16,Jaguar!,23.0,30.0
2018-07-16,HangTime,20.0,25.0
2018-07-16,Timber Mountain Log Ride,20.0,20.0
2018-07-16,Voyage to the Iron Reef,19.0,20.0
2018-07-16,Coast Rider,10.0,10.0
2018-07-16,Montezooma's Revenge,10.0,10.0
2018-07-16,Silver Bullet,7.0,10.0
2018-07-16,Calico Mine Ride,5.0,5.0
2018-07-16,Supreme Scream,5.0,5.0
2018-07-16,Bloodline 1842,,
2018-07-16,Dark Ride,,
2018-07-16,Paranormal Inc.,,
2018-07-16,Pumpkin Eater,,
2018-07-16,Special Ops: Infected,,
2018-07-16,The Red Barn,,
2018-07-16,Trick or Treat: Lights Out,,
2018-07-17,GhostRider,83.0,120.0
2018-07-17,Xcelerator The Ride,36.0,50.0
2018-07-17,Sierra Sidewinder,34.0,40.0
2018-07-17,HangTime,26.0,30.0
2018-07-17,Jaguar!,25.0,30.0
2018-07-17,Timber Mountain Log Ride,19.0,25.0
2018-07-17,Pony Express,17.0,20.0
2018-07-17,Silver Bullet,13.0,15.0
2018-07-17,Calico Mine Ride,13.0,15.0
2018-07-17,Calico River Rapids,12.0,15.0
2018-07-17,Voyage to the Iron Reef,11.0,20.0
2018-07-17,Coast Rider,9.0,10.0
2018-07-17,Supreme Scream,9.0,10.0
2018-07-17,Montezooma's Revenge,5.0,5.0
2018-07-17,Bloodline 1842,,
2018-07-17,Dark Ride,,
2018-07-17,Paranormal Inc.,,
2018-07-17,Pumpkin Eater,,
2018-07-17,Special Ops: Infected,,
2018-07-17,The Red Barn,,
2018-07-17,Trick or Treat: Lights Out,,
2018-07-18,GhostRider,79.0,100.0
2018-07-18,Sierra Sidewinder,47.0,55.0
2018-07-18,Xcelerator The Ride,45.0,55.0
2018-07-18,Calico River Rapids,38.0,70.0
2018-07-18,Timber Mountain Log Ride,35.0,50.0
2018-07-18,HangTime,30.0,45.0
2018-07-18,Calico Mine Ride,27.0,30.0
2018-07-18,Silver Bullet,27.0,30.0
2018-07-18,Montezooma's Revenge,23.0,25.0
2018-07-18,Pony Express,23.0,30.0
2018-07-18,Jaguar!,18.0,20.0
2018-07-18,Coast Rider,17.0,20.0
2018-07-18,Voyage to the Iron Reef,13.0,15.0
2018-07-18,Supreme Scream,9.0,10.0
2018-07-18,Bloodline 1842,,
2018-07-18,Dark Ride,,
2018-07-18,Paranormal Inc.,,
2018-07-18,Pumpkin Eater,,
2018-07-18,Special Ops: Infected,,
2018-07-18,The Red Barn,,
2018-07-18,Trick or Treat: Lights Out,,
2018-07-19,GhostRider,77.0,130.0
2018-07-19,Xcelerator The Ride,59.0,70.0
2018-07-19,Sierra Sidewinder,46.0,55.0
2018-07-19,HangTime,40.0,65.0
2018-07-19,Timber Mountain Log Ride,28.0,35.0
2018-07-19,Silver Bullet,25.0,30.0
2018-07-19,Voyage to the Iron Reef,24.0,30.0
2018-07-19,Calico River Rapids,24.0,30.0
2018-07-19,Pony Express,24.0,30.0
2018-07-19,Coast Rider,20.0,25.0
2018-07-19,Supreme Scream,17.0,20.0
2018-07-19,Calico Mine Ride,14.0,20.0
2018-07-19,Jaguar!,13.0,15.0
2018-07-19,Montezooma's Revenge,13.0,15.0
2018-07-19,Bloodline 1842,,
2018-07-19,Dark Ride,,
2018-07-19,Paranormal Inc.,,
2018-07-19,Pumpkin Eater,,
2018-07-19,Special Ops: Infected,,
2018-07-19,The Red Barn,,
2018-07-19,Trick or Treat: Lights Out,,
2018-07-20,GhostRider,93.0,100.0
2018-07-20,Calico River Rapids,70.0,70.0
2018-07-20,Sierra Sidewinder,70.0,70.0
2018-07-20,HangTime,50.0,50.0
2018-07-20,Xcelerator The Ride,50.0,50.0
2018-07-20,Pony Express,40.0,40.0
2018-07-20,Timber Mountain Log Ride,40.0,40.0
2018-07-20,Silver Bullet,35.0,35.0
2018-07-20,Voyage to the Iron Reef,30.0,35.0
2018-07-20,Coast Rider,30.0,30.0
2018-07-20,Jaguar!,30.0,30.0
2018-07-20,Calico Mine Ride,20.0,20.0
2018-07-20,Montezooma's Revenge,15.0,15.0
2018-07-20,Supreme Scream,10.0,10.0
2018-07-20,Bloodline 1842,,
2018-07-20,Dark Ride,,
2018-07-20,Paranormal Inc.,,
2018-07-20,Pumpkin Eater,,
2018-07-20,Special Ops: Infected,,
2018-07-20,The Red Barn,,
2018-07-20,Trick or Treat: Lights Out,,
2018-07-21,GhostRider,117.0,140.0
2018-07-21,Calico River Rapids,76.0,100.0
2018-07-21,HangTime,74.0,95.0
2018-07-21,Sierra Sidewinder,73.0,90.0
2018-07-21,Timber Mountain Log Ride,51.0,70.0
2018-07-21,Jaguar!,44.0,80.0
2018-07-21,Xcelerator The Ride,33.0,35.0
2018-07-21,Silver Bullet,32.0,35.0
2018-07-21,Voyage to the Iron Reef,32.0,45.0
2018-07-21,Pony Express,26.0,55.0
2018-07-21,Montezooma's Revenge,18.0,35.0
2018-07-21,Coast Rider,18.0,35.0
2018-07-21,Calico Mine Ride,18.0,20.0
2018-07-21,Supreme Scream,11.0,15.0
2018-07-21,Bloodline 1842,,
2018-07-21,Dark Ride,,
2018-07-21,Paranormal Inc.,,
2018-07-21,Pumpkin Eater,,
2018-07-21,Special Ops: Infected,,
2018-07-21,The Red Barn,,
2018-07-21,Trick or Treat: Lights Out,,
2018-07-22,GhostRider,75.0,90.0
2018-07-22,Calico River Rapids,56.0,90.0
2018-07-22,Xcelerator The Ride,56.0,60.0
2018-07-22,HangTime,49.0,80.0
2018-07-22,Timber Mountain Log Ride,34.0,45.0
2018-07-22,Sierra Sidewinder,27.0,30.0
2018-07-22,Coast Rider,18.0,20.0
2018-07-22,Silver Bullet,14.0,15.0
