Date,Ride,Average Wait Time (mins),Max Wait Time (mins)
2017-01-01,Santa's Wild Sleigh Ride,100.0,100.0
2017-01-01,X2,70.0,70.0
2017-01-01,Full Throttle,68.0,70.0
2017-01-01,Twisted Colossus,52.0,55.0
2017-01-01,Tatsu,51.0,55.0
2017-01-01,Ninja,33.0,35.0
2017-01-01,BATMAN The Ride,19.0,20.0
2017-01-01,THE RIDDLER’S Revenge,18.0,20.0
2017-01-01,Sandblasters,15.0,15.0
2017-01-01,Goliath,14.0,15.0
2017-01-01,Scrambler,10.0,10.0
2017-01-01,Scream,10.0,10.0
2017-01-01,THE FLASH Speed Force,10.0,10.0
2017-01-01,Viper,10.0,10.0
2017-01-01,WONDER WOMAN Lasso of Truth,10.0,10.0
2017-01-01,Jet Stream,5.0,10.0
2017-01-01,Buccaneer,5.0,5.0
2017-01-01,Canyon Blaster,5.0,5.0
2017-01-01,Daffy’s Adventure Tours,5.0,5.0
2017-01-01,Elmer's Weather Balloons,5.0,5.0
2017-01-01,Grand American Carousel,5.0,5.0
2017-01-01,Magic Flyer,5.0,5.0
2017-01-01,Merrie Melodies Carousel,5.0,5.0
2017-01-01,Pepe LePew’s Tea Party,5.0,5.0
2017-01-01,Road Runner Express,5.0,5.0
2017-01-01,Speedy Gonzales Hot Rod Racers,5.0,5.0
2017-01-01,Swashbuckler,5.0,5.0
2017-01-01,Sylvester’s Pounce and Bounce,5.0,5.0
2017-01-01,Taz’s Trucking Co.,5.0,5.0
2017-01-01,The Looney Tunes Lodge,5.0,5.0
2017-01-01,Tweety’s Escape,5.0,5.0
2017-01-01,Whistlestop Train,5.0,5.0
2017-01-01,Yosemite Sam’s Flight School,5.0,5.0
2017-01-01,Cyclone 500,,
2017-01-01,Dive Devil,,
2017-01-01,Holiday Square,,
2017-01-01,NEW! Gleampunk District,,
2017-01-01,NEW! Santa's Star-Spangled Plaza,,
2017-01-01,Rockin' Universe,,
2017-01-01,SlingShot,,
2017-01-01,Snowy Nights,,
2017-01-01,Winter Wonderland,,
2017-01-01,Apocalypse,,
2017-01-01,Gold Rusher,,
2017-01-01,GREEN LANTERN: First Flight,,
2017-01-01,Justice League: Battle for Metropolis,,
2017-01-01,LEX LUTHOR: Drop of Doom,,
2017-01-01,Roaring Rapids,,
2017-01-01,SUPERMAN: Escape from Krypton,,
2017-01-01,Tidal Wave,,
2017-01-02,X2,125.0,130.0
2017-01-02,Goliath,120.0,130.0
2017-01-02,Ninja,109.0,130.0
2017-01-02,Tatsu,100.0,100.0
2017-01-02,Twisted Colossus,100.0,100.0
2017-01-02,BATMAN The Ride,95.0,100.0
2017-01-02,Santa's Wild Sleigh Ride,95.0,100.0
2017-01-02,Scream,81.0,100.0
2017-01-02,Full Throttle,70.0,70.0
2017-01-02,THE RIDDLER’S Revenge,58.0,100.0
2017-01-02,Gold Rusher,34.0,70.0
2017-01-02,Viper,20.0,25.0
2017-01-02,Canyon Blaster,20.0,35.0
2017-01-02,Speedy Gonzales Hot Rod Racers,20.0,35.0
2017-01-02,Road Runner Express,19.0,35.0
2017-01-02,Taz’s Trucking Co.,19.0,20.0
2017-01-02,Swashbuckler,19.0,25.0
2017-01-02,Buccaneer,18.0,25.0
2017-01-02,THE FLASH Speed Force,17.0,20.0
2017-01-02,WONDER WOMAN Lasso of Truth,17.0,20.0
2017-01-02,Sandblasters,16.0,20.0
2017-01-02,Daffy’s Adventure Tours,15.0,20.0
2017-01-02,Elmer's Weather Balloons,15.0,20.0
2017-01-02,Merrie Melodies Carousel,15.0,20.0
2017-01-02,Pepe LePew’s Tea Party,15.0,20.0
2017-01-02,Sylvester’s Pounce and Bounce,15.0,20.0
2017-01-02,Tweety’s Escape,15.0,20.0
2017-01-02,Yosemite Sam’s Flight School,15.0,20.0
2017-01-02,Jet Stream,14.0,20.0
2017-01-02,Scrambler,11.0,15.0
2017-01-02,Magic Flyer,10.0,10.0
2017-01-02,The Looney Tunes Lodge,10.0,10.0
2017-01-02,Grand American Carousel,5.0,5.0
2017-01-02,Whistlestop Train,5.0,5.0
2017-01-02,Cyclone 500,,
2017-01-02,Dive Devil,,
2017-01-02,Holiday Square,,
2017-01-02,NEW! Gleampunk District,,
2017-01-02,NEW! Santa's Star-Spangled Plaza,,
2017-01-02,Rockin' Universe,,
2017-01-02,SlingShot,,
2017-01-02,Snowy Nights,,
2017-01-02,Winter Wonderland,,
2017-01-02,Apocalypse,,
2017-01-02,GREEN LANTERN: First Flight,,
2017-01-02,Justice League: Battle for Metropolis,,
2017-01-02,LEX LUTHOR: Drop of Doom,,
2017-01-02,Roaring Rapids,,
2017-01-02,SUPERMAN: Escape from Krypton,,
2017-01-02,Tidal Wave,,
2017-01-03,Tatsu,70.0,70.0
2017-01-03,Twisted Colossus,64.0,70.0
2017-01-03,X2,62.0,100.0
2017-01-03,BATMAN The Ride,53.0,70.0
2017-01-03,Full Throttle,51.0,70.0
