Date,Ride,Average Wait Time (mins),Max Wait Time (mins)
2018-07-19,TRANSFORMERS™: The Ride-3D,61.0,85.0
2018-07-19,Jurassic World — The Ride,56.0,80.0
2018-07-19,The Simpsons Ride™,49.0,60.0
2018-07-19,Harry Potter and the Forbidden Journey™,47.0,95.0
2018-07-19,Revenge of the Mummy – The Ride,47.0,65.0
2018-07-19,Studio Tour,42.0,55.0
2018-07-19,Kung Fu Panda Adventure,40.0,75.0
2018-07-19,Despicable Me Minion Mayhem,35.0,90.0
2018-07-19,Flight of the Hippogriff™,33.0,60.0
2018-07-19,Ollivanders™,21.0,40.0
2018-07-19,The Walking Dead Attraction,18.0,45.0
2018-07-19,DinoPlay,,
2018-07-19,Super Silly Fun Land,,
2018-07-20,Harry Potter and the Forbidden Journey™,63.0,120.0
2018-07-20,Kung Fu Panda Adventure,56.0,85.0
2018-07-20,TRANSFORMERS™: The Ride-3D,54.0,80.0
2018-07-20,Jurassic World — The Ride,54.0,85.0
2018-07-20,Studio Tour,45.0,90.0
2018-07-20,The Simpsons Ride™,43.0,60.0
2018-07-20,Revenge of the Mummy – The Ride,38.0,60.0
2018-07-20,Despicable Me Minion Mayhem,35.0,70.0
2018-07-20,Flight of the Hippogriff™,34.0,65.0
2018-07-20,Ollivanders™,23.0,45.0
2018-07-20,The Walking Dead Attraction,14.0,30.0
2018-07-20,DinoPlay,,
2018-07-20,Super Silly Fun Land,,
2018-07-21,Harry Potter and the Forbidden Journey™,82.0,180.0
2018-07-21,TRANSFORMERS™: The Ride-3D,70.0,105.0
2018-07-21,Jurassic World — The Ride,68.0,120.0
2018-07-21,The Simpsons Ride™,57.0,80.0
2018-07-21,Revenge of the Mummy – The Ride,53.0,80.0
2018-07-21,Studio Tour,51.0,90.0
2018-07-21,Flight of the Hippogriff™,44.0,120.0
2018-07-21,Kung Fu Panda Adventure,43.0,80.0
2018-07-21,Despicable Me Minion Mayhem,42.0,75.0
2018-07-21,Ollivanders™,24.0,45.0
2018-07-21,The Walking Dead Attraction,22.0,50.0
2018-07-21,DinoPlay,,
2018-07-21,Super Silly Fun Land,,
2018-07-22,Harry Potter and the Forbidden Journey™,59.0,150.0
2018-07-22,Jurassic World — The Ride,52.0,85.0
2018-07-22,TRANSFORMERS™: The Ride-3D,49.0,65.0
2018-07-22,The Simpsons Ride™,41.0,60.0
2018-07-22,Revenge of the Mummy – The Ride,40.0,65.0
2018-07-22,Despicable Me Minion Mayhem,34.0,65.0
2018-07-22,Kung Fu Panda Adventure,33.0,70.0
2018-07-22,Studio Tour,29.0,55.0
2018-07-22,Flight of the Hippogriff™,28.0,55.0
2018-07-22,Ollivanders™,19.0,45.0
2018-07-22,The Walking Dead Attraction,11.0,30.0
2018-07-22,DinoPlay,,
2018-07-22,Super Silly Fun Land,,
2018-07-23,Harry Potter and the Forbidden Journey™,64.0,120.0
2018-07-23,Jurassic World — The Ride,63.0,115.0
2018-07-23,TRANSFORMERS™: The Ride-3D,59.0,100.0
2018-07-23,Studio Tour,56.0,70.0
2018-07-23,The Simpsons Ride™,51.0,86.0
2018-07-23,Revenge of the Mummy – The Ride,44.0,75.0
2018-07-23,Despicable Me Minion Mayhem,40.0,65.0
2018-07-23,Kung Fu Panda Adventure,38.0,75.0
2018-07-23,Flight of the Hippogriff™,35.0,60.0
2018-07-23,Ollivanders™,28.0,50.0
2018-07-23,The Walking Dead Attraction,18.0,35.0
2018-07-23,DinoPlay,,
2018-07-23,Super Silly Fun Land,,
2018-07-24,Harry Potter and the Forbidden Journey™,59.0,100.0
2018-07-24,TRANSFORMERS™: The Ride-3D,47.0,70.0
2018-07-24,Jurassic World — The Ride,47.0,100.0
2018-07-24,The Simpsons Ride™,41.0,60.0
2018-07-24,Revenge of the Mummy – The Ride,32.0,60.0
2018-07-24,Despicable Me Minion Mayhem,30.0,55.0
2018-07-24,Studio Tour,30.0,50.0
2018-07-24,Kung Fu Panda Adventure,30.0,70.0
2018-07-24,Flight of the Hippogriff™,28.0,55.0
2018-07-24,Ollivanders™,19.0,35.0
2018-07-24,The Walking Dead Attraction,11.0,35.0
2018-07-24,DinoPlay,,
2018-07-24,Super Silly Fun Land,,
2018-07-25,Jurassic World — The Ride,51.0,80.0
2018-07-25,Harry Potter and the Forbidden Journey™,50.0,95.0
2018-07-25,TRANSFORMERS™: The Ride-3D,46.0,75.0
2018-07-25,The Simpsons Ride™,43.0,60.0
2018-07-25,Revenge of the Mummy – The Ride,35.0,50.0
2018-07-25,Kung Fu Panda Adventure,30.0,65.0
2018-07-25,Despicable Me Minion Mayhem,28.0,60.0
2018-07-25,Flight of the Hippogriff™,27.0,55.0
2018-07-25,Ollivanders™,26.0,50.0
2018-07-25,Studio Tour,25.0,50.0
2018-07-25,The Walking Dead Attraction,12.0,30.0
2018-07-25,DinoPlay,,
2018-07-25,Super Silly Fun Land,,
2018-07-26,Harry Potter and the Forbidden Journey™,73.0,120.0
2018-07-26,Jurassic World — The Ride,62.0,115.0
2018-07-26,TRANSFORMERS™: The Ride-3D,58.0,85.0
2018-07-26,Revenge of the Mummy – The Ride,52.0,80.0
2018-07-26,The Simpsons Ride™,50.0,90.0
2018-07-26,Studio Tour,42.0,65.0
2018-07-26,Despicable Me Minion Mayhem,39.0,65.0
2018-07-26,Kung Fu Panda Adventure,36.0,70.0
2018-07-26,Flight of the Hippogriff™,36.0,60.0
2018-07-26,Ollivanders™,25.0,45.0
2018-07-26,The Walking Dead Attraction,15.0,30.0
2018-07-26,DinoPlay,,
2018-07-26,Super Silly Fun Land,,
2018-07-27,Harry Potter and the Forbidden Journey™,74.0,130.0
2018-07-27,Jurassic World — The Ride,68.0,100.0
2018-07-27,TRANSFORMERS™: The Ride-3D,62.0,95.0
2018-07-27,The Simpsons Ride™,52.0,80.0
2018-07-27,Studio Tour,51.0,70.0
2018-07-27,Revenge of the Mummy – The Ride,46.0,80.0
2018-07-27,Kung Fu Panda Adventure,40.0,70.0
2018-07-27,Flight of the Hippogriff™,38.0,65.0
2018-07-27,Despicable Me Minion Mayhem,37.0,65.0
2018-07-27,The Walking Dead Attraction,23.0,45.0
2018-07-27,Ollivanders™,23.0,40.0
2018-07-27,DinoPlay,,
2018-07-27,Super Silly Fun Land,,
2018-07-28,Harry Potter and the Forbidden Journey™,78.0,135.0
2018-07-28,Jurassic World — The Ride,75.0,125.0
2018-07-28,TRANSFORMERS™: The Ride-3D,67.0,110.0
2018-07-28,Studio Tour,60.0,90.0
2018-07-28,Revenge of the Mummy – The Ride,56.0,90.0
2018-07-28,The Simpsons Ride™,54.0,85.0
2018-07-28,Despicable Me Minion Mayhem,47.0,80.0
2018-07-28,Kung Fu Panda Adventure,44.0,75.0
2018-07-28,Flight of the Hippogriff™,42.0,80.0
2018-07-28,The Walking Dead Attraction,24.0,50.0
