Date,Ride,Average Wait Time (mins),Max Wait Time (mins)
2024-01-01,Peter Pan's Flight,21.0,30.0
2024-01-01,Alice in Wonderland,5.0,5.0
2024-01-01,Buzz Lightyear Astro Blasters,5.0,5.0
2024-01-01,Disneyland Monorail,5.0,5.0
2024-01-01,Dumbo the Flying Elephant,5.0,5.0
2024-01-01,King Arthur Carrousel,5.0,5.0
2024-01-01,Mad Tea Party,5.0,5.0
2024-01-01,Mr. Toad's Wild Ride,5.0,5.0
2024-01-01,Pinocchio's Daring Journey,5.0,5.0
2024-01-01,Snow White's Enchanted Wish,5.0,5.0
2024-01-01,Space Mountain,5.0,5.0
2024-01-01,Star Tours - The Adventures Continue,5.0,5.0
2024-01-01,Blue Bayou Restaurant,,
2024-01-01,Cafe Orleans,,
2024-01-01,Carnation Café,,
2024-01-01,Oga's Cantina at the Disneyland Resort,,
2024-01-01,River Belle Terrace,,
2024-01-01,"""it's a small world""",,
2024-01-01,Adventureland Treehouse inspired by Walt Disney’s Swiss Family Robinson,,
2024-01-01,Astro Orbitor,,
2024-01-01,Autopia,,
2024-01-01,Big Thunder Mountain Railroad,,
2024-01-01,Casey Jr. Circus Train,,
2024-01-01,Chip 'n' Dale's GADGETcoaster,,
2024-01-01,Davy Crockett's Explorer Canoes,,
2024-01-01,Disneyland Railroad,,
2024-01-01,Finding Nemo Submarine Voyage,,
2024-01-01,Goofy's How-to-Play Yard,,
2024-01-01,Great Moments with Mr. Lincoln,,
2024-01-01,Haunted Mansion Holiday,,
2024-01-01,Indiana Jones™ Adventure,,
2024-01-01,Jungle Cruise,,
2024-01-01,Matterhorn Bobsleds,,
2024-01-01,Meet Tinker Bell in Pixie Hollow,,
2024-01-01,Mickey & Minnie's Runaway Railway,,
2024-01-01,Mickey's House and Meet Mickey Mouse,,
2024-01-01,Millennium Falcon: Smugglers Run,,
2024-01-01,Millennium Falcon: Smugglers Run Single Rider,,
2024-01-01,Pirate's Lair on Tom Sawyer Island,,
2024-01-01,Pirates of the Caribbean,,
2024-01-01,Roger Rabbit's Car Toon Spin,,
2024-01-01,Sailing Ship Columbia,,
2024-01-01,Splash Mountain,,
2024-01-01,Star Wars: Rise of the Resistance,,
2024-01-01,Storybook Land Canal Boats,,
2024-01-01,The Many Adventures of Winnie the Pooh,,
2024-01-01,Walt Disney's Enchanted Tiki Room,,
2024-01-02,Peter Pan's Flight,20.0,20.0
2024-01-02,Alice in Wonderland,5.0,5.0
2024-01-02,Buzz Lightyear Astro Blasters,5.0,5.0
2024-01-02,Disneyland Monorail,5.0,5.0
2024-01-02,Dumbo the Flying Elephant,5.0,5.0
2024-01-02,King Arthur Carrousel,5.0,5.0
2024-01-02,Mr. Toad's Wild Ride,5.0,5.0
2024-01-02,Pinocchio's Daring Journey,5.0,5.0
2024-01-02,Snow White's Enchanted Wish,5.0,5.0
2024-01-02,Space Mountain,5.0,5.0
2024-01-02,Star Tours - The Adventures Continue,5.0,5.0
2024-01-02,Blue Bayou Restaurant,,
2024-01-02,Cafe Orleans,,
